veg;Sito;plot;plot2;Orizzonte;PH;Nitrogen;Carbon;Hydrogen;Suphur;Al;Ca;Fe ;K ;Mg ;Mn ;Na ;P ;Sc 
3;BIS;PR;BISPR10;0;5,41;0,456093162;6,012554169;2,649672747;0;19,42;55,405;3,05;2,65;5,62;0,53;0,32;0,28;0,97
3;BIS;PR;BISPR20;0;5,23;0,550448835;7,118846893;2,767196417;0;22,78;45,38;3,36;3,05;4,81;0,36;0,26;0,23;0,98
3;BIS;PR;BISPR30;0;6,6;0,324253827;4,708385468;2,048621416;0;16;74,405;1,73;4,32;4,95;0,58;0,06;0,68;0,97
3;BIS;PR;BISPR40;0;6,45;0,412000954;5,718515396;2,391075134;0;12,42;107,3;2,32;3,18;5,64;0,5;0,25;0,28;0,96
3;BIS;PR;BISPR50;0;6,18;1,042547464;12,90420341;4,038281918;0;13,08;105,18;3,04;8,69;11,56;0,77;0,36;1,44;0,96
2;BIS;BM;BISBM10;0;4,67;0,302426428;3,587094069;0;0,633593917;19,18;11,15;7,68;2,08;1,35;0,08;0;0,14;0,97
2;BIS;BM;BISBM20;0;4,71;0,709519506;11,40665436;3,747548342;0;19,56;35,585;7,79;4,2;4,49;0,38;0;0,4;0,95
2;BIS;BM;BISBM30;0;4,69;0,944414139;15,63543415;5,889892578;0;16,11;42,925;6,57;5,5;3,9;0,81;0,02;0,43;0,96
2;BIS;BM;BISBM40;0;5,95;0,497938991;7,094799519;2,432842731;0;16,63;66,61;5,55;3,99;6,48;0,44;0,04;0,37;0,96
1;BIS;PAR;BISPAR10;0;4,39;0,993356645;21,33686256;6,577657223;0;7,79;51,39;2,12;2,45;2,54;2,73;0,09;0,67;0,97
1;BIS;PAR;BISPAR20;0;6,54;0,515450656;9,098228455;3,291369438;0;9,34;112,065;2,05;3,35;4,79;1,29;0,1;0,36;0,96
1;BIS;PAR;BISPAR30;0;6,58;1,147808075;25,84328079;7,069414139;0;2,19;168,155;1,49;4,53;7,42;0,7;0,08;0,44;0,95
1;BIS;PAR;BISPAR40;0;4,23;0,982422233;18,19307709;4,405495644;0;19,55;38,795;7,38;5,14;2,9;0,92;0,1;0,65;0,96
1;BIS;PAR;BISPAR50;0;4,11;0,856905222;16,17702675;4,20833683;0;25,11;35,84;7,37;3,55;2,8;0,9;0,09;0,35;0,96
2;AVR;BM;AVRBM10;0;5,51;0,612047136;8,926544189;3,806089163;0;21,17;68,225;4,84;2,61;6,27;1,1;0,15;0,24;0,97
2;AVR;BM;AVRBM20;0;5,72;0,967708468;14,55405903;5,253133774;0;12;89,725;3,84;4,92;6,82;1,43;0;0,46;0,96
2;AVR;BM;AVRBM30;0;5,63;0,885738313;14,59020996;5,104615688;0;12,82;89,435;3,79;4,89;7,87;1;0;0,44;0,97
2;AVR;BM;AVRBM40;0;6,29;0,446182519;5,642167091;0;2,624855757;6,03;50,865;2,27;3,93;3,35;1,98;0;0,33;0,97
2;AVR;BM;AVRBM50;0;5,87;0,997374237;16,9532814;5,386399269;0;1,36;95,345;2,7;5,23;6;2,57;0;0,64;0,97
1;AVR;PAR;AVRPAR10;0;6,5;0,477588832;6,681651115;5,375085831;0;16,32;129,35;2,14;8,06;6,42;4,32;0,74;0,14;0,96
1;AVR;PAR;AVRPAR20;0;6,58;0,707128048;10,20582008;5,501257896;0;10,72;130,315;1,58;5,08;8,17;3,05;0,18;0,14;0,96
1;AVR;PAR;AVRPAR30;0;5,12;1,01793313;19,61704445;7,368218899;0;16,9;100,21;3,5;5,29;6,09;2,92;0,61;0,46;0,96
1;AVR;PAR;AVRPAR40;0;4,57;0,755271137;14,51001072;5,905880451;0;22,31;50,99;4,09;6,06;3,6;3,56;0,32;0,46;0,97
1;AVR;PAR;AVRPAR50;0;5,13;0,764402866;13,14890099;6,033936977;0;22,28;85,675;4,65;11,11;7,31;4,65;0,54;0,81;0,96
