;Temp factor;Continentality;Light value;Humidity values;Soil moisture variability;Soil nutrients;Soil humus;Life form LF;Leaf duration;Root depth;pH
Abies_alba;3;2;1;4;2;3;5;p;i;5;3
Acer_campestris;3;2;1;4;2;3;5;p;i;5;3
Acer_pseudoplatanus;3;2;2;3,5;3;3;3;p;s;3,5;3
Achillea_millefolium;3;3;4;2;1;3;3;c-h;t;2,5;3
Adoxa_moschatellina;3;3;2;3,5;2;3;3;g;v;1;4
Agrostis_stolonifera;3;3;3;4;3;4;3;h;w;2,5;4
Ajuga_reptans;3,5;3;3;3;1;3;3;h;w;1,5;3
Alchemilla_vulgaris;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Alliaria_petiolata;4;3;2;3,5;1;5;3;h-t;t;NA;4
Anemonoides_nemorosa;3,5;3;2;3;1;3;3;g;v;1;NA
Angelica_sylvestris;3;3;3;4;3;3;3;k;s;2,5;3
Anthoxanthum_odoratum;3,5;3;4;3;1;2;5;h;w;1,5;2
Aquilegia_atrata;3;3;3;3;3;2;3;h;s;NA;4
Aristolochia_pallida;4,5;3;3;2;2;3;3;g;s;NA;4
Arrhenatherum_elatius;4;3;3;3;1;4;3;h;t;3,5;3
Arum_maculatum;4;2;2;3;2;3;3;g;v;NA;3
Asperula_taurina;4;2;2;3,5;1;3;3;g;t;NA;4
Astrantia_minor;2,5;3;3;3;1;2;5;h;s;NA;2
Betonica_officinalis;3;3;3;4;3,5;2;2;h;NA;NA;NA
Brachipodium_sylvaticum;3,5;3;3;3,5;2;3;3;h;t;NA;3
Brachypodium_pinnatum;3;4;3;2;2;3;3;g-h;t;3;4
Briza_media;3;4;4;2;3;2;3;h;t;1,5;4
Bromus_erectus;4;4;4;2;2;2;3;h;t;3;4
Cardamine_bulbifera;3,5;3;2;3,5;1;4;5;g;s;NA;3
Cardamine_heptafilla;3;2;2;3,5;1;4;5;g;s;NA;4
Carduus_defloratus;2,5;4;4;2;1;3;1;h;s;3;4
Carex_montana;3;4;3;2,5;2;2;3;h;s;1;4
Castanea_sativa;4,5;3;3;3;1;2;3;p;s;4,5;2
Centaurea_jacea;3;3;4;2,5;1;3;3;h;t;4;3
Cirsium_vulgare;3,5;3;4;3;NA;4;NA;NA;NA;NA;NA
Clematis_vitalba;3,5;3;3;3;1;3;3;p.li;s;NA;4
Clinopodium_menthifolium;4;3;3;2,5;NA;2;NA;NA;NA;NA;NA
Convolvolus_arvensis;4;4;4;2,5;NA;4;NA;NA;NA;NA;NA
Cornus_mas;4,5;4;3;2,5;1;3;3;n-p;s;2;4
